User-ID,Favorite_Main_Genres,Favorite_Sub_Genres,Favorite_Authors,Average_Rating_Given,Number_of_Books_Rated,Highest_Rated_Genres,Reading_Diversity,Most_Frequently_Read_Genres
36256,Children's Books|Medicine & Health Sciences|Exam Preparation,Administration & Policy|Mysteries & Curiosities|Medical Entrance,Dr. Vipin Kumar Sharma|D Weatherall|Dreamland Publications,4.066666666666666,15,"Health, Family & Personal Development|Business & Economics|Medicine & Health Sciences",11,Children's Books|Medicine & Health Sciences|Exam Preparation
36263,Children's Books,Holidays & Celebrations,Elisa Anderson,3.5,1,Children's Books,1,Children's Books
36264,Higher Education Textbooks|Children's Books,Social Sciences|Growing Up & Facts of Life,Dr Shefali Tsabary|Jeff Kinney,4.25,2,Children's Books|Higher Education Textbooks,2,Higher Education Textbooks|Children's Books
36265,Business & Economics,Industries,Joy Bhattacharjya,4.5,1,Business & Economics,1,Business & Economics
36276,"Arts, Film & Photography",Music,John Thompson,4.5,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
36286,Business & Economics|Children's Books,"Industries|Fantasy, Science Fiction & Horror",Ashlee Vance|J.K. Rowling,4.0,2,Children's Books|Business & Economics,2,Business & Economics|Children's Books
36288,"Children's Books|Crime, Thriller & Mystery",Humour|Thrillers and Suspense|Growing Up & Facts of Life,VIDHYA SOOD|Jeff Kinney|Aditi Gupta,4.0,4,"Children's Books|Crime, Thriller & Mystery",2,"Children's Books|Crime, Thriller & Mystery"
36299,Children's Books|Romance|Medicine & Health Sciences,Fantasy|Later in Life|Nursing,Wonder House Books|J.K. Rowling|Emily Tudor,4.125,8,"Romance|Fantasy, Horror & Science Fiction|Children's Books",6,Children's Books|Romance|Medicine & Health Sciences
36304,Children's Books,Historical Fiction,Mary Pope Osborne,3.0,1,Children's Books,1,Children's Books
36307,Children's Books|Higher Education Textbooks|Exam Preparation,Fantasy|Computer Science|Picture Books,Rick Riordan|Max Tegmark|Eric Carle,4.125,4,Children's Books|Exam Preparation|Higher Education Textbooks,3,Children's Books|Higher Education Textbooks|Exam Preparation
36313,Sports,"Bowls, Bowling & Petanque",Muscle Photographer Nobi,4.5,1,Sports,1,Sports
36326,Engineering|Higher Education Textbooks|Comics & Mangas,Electrical & Electronic Engineering|Computer Science|Comics,Christopher M. Bishop|Joel Grus|Jeff Kinney,3.3333333333333335,3,Engineering|Higher Education Textbooks|Comics & Mangas,3,Engineering|Higher Education Textbooks|Comics & Mangas
36327,Children's Books|Science & Mathematics|Medicine & Health Sciences,Humour|Research|Tax Law,Jeff Kinney|Indian Institute of Banking & Finance|Wonder House Books,4.134615384615385,26,"Romance|Higher Education Textbooks|Crafts, Home & Lifestyle",11,Children's Books|Science & Mathematics|Medicine & Health Sciences
36357,"Literature & Fiction|Sports|Fantasy, Horror & Science Fiction",Humour|Training & Coaching|Fantasy,James N. Yanez|Wonder House Books|Timothy Ferriss,3.875,4,"Fantasy, Horror & Science Fiction|Literature & Fiction|Sports",3,"Literature & Fiction|Sports|Fantasy, Horror & Science Fiction"
36399,Children's Books,Literature & Fiction,Ross Welford,4.0,1,Children's Books,1,Children's Books
36400,Children's Books,Animals & Pets,Eric Carle,4.5,1,Children's Books,1,Children's Books
36403,Children's Books,"Family, Personal & Social Issues",Chandan Deshmukh,3.5,1,Children's Books,1,Children's Books
36410,Children's Books,Geography & Cultures,L. Somi Roy,3.0,1,Children's Books,1,Children's Books
36413,Romance,Small Town Romance,Brit  Benson,3.5,1,Romance,1,Romance
36435,Exam Preparation,"Arts, Design and Education Exams",RPH Editorial Board,3.0,1,Exam Preparation,1,Exam Preparation
36441,"Children's Books|Crime, Thriller & Mystery|Biographies, Diaries & True Accounts",Interactive & Activity Books|Thrillers and Suspense|True Accounts,Wonder House Books|செவத்த சிங்காரி|Romulus Whitaker,3.6666666666666665,3,"Biographies, Diaries & True Accounts|Children's Books|Crime, Thriller & Mystery",3,"Children's Books|Crime, Thriller & Mystery|Biographies, Diaries & True Accounts"
36472,Business & Economics,Industries,Ashlee Vance,4.5,1,Business & Economics,1,Business & Economics
36475,Children's Books,Traditional Stories,Wonder House Books,3.5,1,Children's Books,1,Children's Books
36476,"Sciences, Technology & Medicine",Mathematics,NCRT,4.5,1,"Sciences, Technology & Medicine",1,"Sciences, Technology & Medicine"
36484,Exam Preparation,Professional Certification Exams,LearnX,4.0,1,Exam Preparation,1,Exam Preparation
36491,Children's Books,Literature & Fiction,Wonder House Books,3.0,1,Children's Books,1,Children's Books
36496,Children's Books,Holidays & Celebrations,Amy Krouse Rosenthal,4.5,1,Children's Books,1,Children's Books
36498,Higher Education Textbooks,Social Sciences,Rudrangshu Mukherjee,4.0,1,Higher Education Textbooks,1,Higher Education Textbooks
36502,Sports,Juggling,Blonde beauty cosplay photo studio Ai,4.0,1,Sports,1,Sports
36506,"Fantasy, Horror & Science Fiction|Health, Family & Personal Development",Horror|Personal Transformation,Jatin Bhasin|Sri M|James Clear,4.0,3,"Fantasy, Horror & Science Fiction|Health, Family & Personal Development",2,"Fantasy, Horror & Science Fiction|Health, Family & Personal Development"
36509,"Crafts, Home & Lifestyle",Lifestyle & Personal Style Guides,Courtney Allison,4.0,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
36510,"Health, Family & Personal Development",Personal Transformation,James Clear,4.5,1,"Health, Family & Personal Development",1,"Health, Family & Personal Development"
36540,Exam Preparation|Business & Economics,Medical Entrance|Industries,CEREBELUM|Ram Charan,4.5,2,Business & Economics|Exam Preparation,2,Exam Preparation|Business & Economics
36554,"Children's Books|Exam Preparation|Computing, Internet & Digital Media","Arts, Design and Education Exams|Operating Systems|Poetry",Dr. Renu Mishra & EBS Team|David Beazley|Edgar Allan Poe,4.4,5,"Exam Preparation|Children's Books|Computing, Internet & Digital Media",4,"Children's Books|Exam Preparation|Computing, Internet & Digital Media"
36562,Children's Books|Business & Economics,"Family, Personal & Social Issues|Economics",Pat Zietlow Miller|Chetan Bhagat|Benjamin Graham,4.333333333333333,3,Business & Economics|Children's Books,2,Children's Books|Business & Economics
36570,Children's Books,Picture Books,Eric Carle,3.5,1,Children's Books,1,Children's Books
36575,"Computing, Internet & Digital Media",Computer Science,Eric Lamarre,4.5,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
36582,Children's Books,Interactive & Activity Books,Wonder House Books,5.0,1,Children's Books,1,Children's Books
36603,Literature & Fiction,Humour,James N. Yanez,3.0,1,Literature & Fiction,1,Literature & Fiction
36606,Children's Books|Literature & Fiction|Sports,Humour|Reference|Poetry,Wonder House Books|J.K. Rowling|Jeff Kinney,4.08641975308642,162,"Health, Family & Personal Development|Crime, Thriller & Mystery|Politics",26,Children's Books|Literature & Fiction|Sports
36609,"Children's Books|Literature & Fiction|Fantasy, Horror & Science Fiction",Fantasy|Industries|Money & Jobs,J.K. Rowling|Zack Zombie|Maple Press,4.112244897959184,49,"Crime, Thriller & Mystery|Higher Education Textbooks|Teen & Young Adult",17,"Children's Books|Literature & Fiction|Fantasy, Horror & Science Fiction"
36621,Children's Books,"Interactive & Activity Books|Fantasy, Science Fiction & Horror",Wonder House Books|J.K. Rowling,3.6666666666666665,3,Children's Books,1,Children's Books
36626,Society & Social Sciences,Social Welfare & Social Services,Acharya Prashant,5.0,1,Society & Social Sciences,1,Society & Social Sciences
36627,"Health, Family & Personal Development",Self-Help,Dale Carnegie,4.0,1,"Health, Family & Personal Development",1,"Health, Family & Personal Development"
36632,Literature & Fiction|Children's Books,Classic Fiction|Holidays & Celebrations,Goswami Tulsidas|Sigal Adler,4.5,2,Children's Books|Literature & Fiction,2,Literature & Fiction|Children's Books
36635,History,Biographies & Autobiographies,Mahatma Gandhi,4.0,1,History,1,History
36638,Children's Books,Geography & Cultures,Cocomelon,4.5,1,Children's Books,1,Children's Books
36644,Comics & Mangas,Comics,Rajani Thindiath,4.0,1,Comics & Mangas,1,Comics & Mangas
36656,Children's Books,Animals & Pets,Eric Carle,4.0,1,Children's Books,1,Children's Books
36659,Children's Books,Sport,Matt Oldfield,5.0,1,Children's Books,1,Children's Books
36673,"Children's Books|Higher Education Textbooks|Arts, Film & Photography",Reference|Social Sciences|Holidays & Celebrations,Dr Shefali Tsabary|Elisa Anderson|Geronimo Stilton,3.6923076923076925,13,"Business & Economics|Sciences, Technology & Medicine|Comics & Mangas",9,"Children's Books|Higher Education Textbooks|Arts, Film & Photography"
36677,Literature & Fiction,Poetry,Reema Sherin,5.0,1,Literature & Fiction,1,Literature & Fiction
36678,Higher Education Textbooks,Social Sciences,Ernesto ‘Che’ Guevara,5.0,1,Higher Education Textbooks,1,Higher Education Textbooks
36693,"Children's Books|Fantasy, Horror & Science Fiction","Cars, Trains & Things That Go|Fantasy",Wonder House Books|Douglas Adams,4.25,2,"Children's Books|Fantasy, Horror & Science Fiction",2,"Children's Books|Fantasy, Horror & Science Fiction"
36694,Science & Mathematics,Mathematics,Dr. SK Goyal,3.5,1,Science & Mathematics,1,Science & Mathematics
36701,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
36704,Children's Books|Higher Education Textbooks|Law,Crime & Thriller|Business & Finance|Tax Law,Tahereh Mafi|K Aswathappa|Dr. Vinod K. Singhania,3.8333333333333335,3,Children's Books|Higher Education Textbooks|Law,3,Children's Books|Higher Education Textbooks|Law
36705,Children's Books,Education & Reference,R.S Aggarwal,4.0,1,Children's Books,1,Children's Books
36706,Higher Education Textbooks,Computer Science,Alex Xu,3.5,1,Higher Education Textbooks,1,Higher Education Textbooks
36708,Exam Preparation,"Arts, Design and Education Exams",Dr. Renu Mishra & EBS Team,4.5,1,Exam Preparation,1,Exam Preparation
36709,"History|Crafts, Home & Lifestyle",Ancient|Gardening & Landscape Design,Sanjeev Sanyal|Mohanan P.V.,5.0,2,"Crafts, Home & Lifestyle|History",2,"History|Crafts, Home & Lifestyle"
36710,Children's Books,Money & Jobs,Medi Houghton,3.5,1,Children's Books,1,Children's Books
36715,"Children's Books|Crafts, Home & Lifestyle|Exam Preparation",Literature & Fiction|Polytechnics & ITI|Home & House Maintenance,Wonder House Books|RACHEL RENEE RUSSELL|PixelPage Experts,4.24,25,"Computing, Internet & Digital Media|Engineering|Romance",10,"Children's Books|Crafts, Home & Lifestyle|Exam Preparation"
36724,Exam Preparation,Medical Entrance,CEREBELUM,4.0,1,Exam Preparation,1,Exam Preparation
36727,Children's Books,"Fantasy, Science Fiction & Horror",J.K. Rowling,5.0,1,Children's Books,1,Children's Books
36741,"Arts, Film & Photography|Health, Family & Personal Development",Theater & Ballet|Self-Help,J.K. Rowling|Dale Carnegie,4.25,2,"Arts, Film & Photography|Health, Family & Personal Development",2,"Arts, Film & Photography|Health, Family & Personal Development"
36748,"Arts, Film & Photography|Teen & Young Adult",Cinema & Broadcast|Hobbies & Games,John Truby|Maple Press,5.0,2,"Arts, Film & Photography|Teen & Young Adult",2,"Arts, Film & Photography|Teen & Young Adult"
36749,"Children's Books|Computing, Internet & Digital Media",Holidays & Celebrations|Operating Systems|Traditional Stories,STILTON GERONIMO|Tripp Mickle|Maple Press,4.166666666666667,3,"Computing, Internet & Digital Media|Children's Books",2,"Children's Books|Computing, Internet & Digital Media"
36760,Children's Books,Humour|Growing Up & Facts of Life,Jeff Kinney|Aditi Gupta,4.5,2,Children's Books,1,Children's Books
36771,Exam Preparation,Medical Entrance,ALLEN Expert Faculties,4.5,1,Exam Preparation,1,Exam Preparation
36774,Higher Education Textbooks,Social Sciences,Rudrangshu Mukherjee,3.5,1,Higher Education Textbooks,1,Higher Education Textbooks
36775,Children's Books,Religion,Wonder House Books,4.5,1,Children's Books,1,Children's Books
36788,Children's Books,Picture Books,Maple Press,4.5,1,Children's Books,1,Children's Books
36798,Children's Books|Higher Education Textbooks,Language Learning|Business & Finance,Faye Berryman & Phillip O'Carroll|Raghuram G Rajan and Rohit Lamba/रघुराम जी. राजन और रोहित लाम्बा,3.0,2,Children's Books|Higher Education Textbooks,2,Children's Books|Higher Education Textbooks
36801,"Biographies, Diaries & True Accounts",True Accounts,Jim Corbett,5.0,1,"Biographies, Diaries & True Accounts",1,"Biographies, Diaries & True Accounts"
36802,Children's Books,Computers & Technology,Zack Zombie,4.0,1,Children's Books,1,Children's Books
36807,"Children's Books|Literature & Fiction|Computing, Internet & Digital Media","Family, Personal & Social Issues|Classic Fiction|Literature & Fiction",Sonalika CSR|Goswami Tulsidas|Wonder House Books,4.0,9,"Computing, Internet & Digital Media|Literature & Fiction|Children's Books",5,"Children's Books|Literature & Fiction|Computing, Internet & Digital Media"
36811,"Language, Linguistics & Writing|Children's Books",Writing Guides|Animals & Pets,William Zinsser|Eric Carle,3.5,2,"Children's Books|Language, Linguistics & Writing",2,"Language, Linguistics & Writing|Children's Books"
36817,"Children's Books|Fantasy, Horror & Science Fiction|Exam Preparation",Fantasy|Medical Entrance|Humour,Dr. Vipin Kumar Sharma|Jeff Kinney|J.K. Rowling,3.9375,8,"Business & Economics|Fantasy, Horror & Science Fiction|Exam Preparation",5,"Children's Books|Fantasy, Horror & Science Fiction|Exam Preparation"
36836,"Children's Books|Literature & Fiction|Computing, Internet & Digital Media",Humour|Reference|Holidays & Celebrations,Wonder House Books|Jeff Kinney|J.K. Rowling,3.9413793103448276,145,"Crime, Thriller & Mystery|History|School Books",26,"Children's Books|Literature & Fiction|Computing, Internet & Digital Media"
36839,Children's Books|Romance|Exam Preparation,Holidays & Celebrations|Paranormal|Professional Certification Exams,Sigal Adler|Sarah J. Maas|Srishti Agarwal,4.0,8,Children's Books|Higher Education Textbooks|Romance,6,Children's Books|Romance|Exam Preparation
36844,Children's Books|Teen & Young Adult,"Fantasy, Science Fiction & Horror|History",J.K. Rowling|SANJEEV SANYAL,4.5,2,Children's Books|Teen & Young Adult,2,Children's Books|Teen & Young Adult
36849,Religion,Jainism,Poojan Paath Pradeep,5.0,1,Religion,1,Religion
36871,Children's Books,Animals & Pets,Eric Carle,4.5,1,Children's Books,1,Children's Books
36879,Children's Books,Money & Jobs,The Victory Project: Six Steps to Peak Potential Anupam Gupta,3.5,1,Children's Books,1,Children's Books
36886,"Sciences, Technology & Medicine",Astronomy,Kip Thorne,4.0,1,"Sciences, Technology & Medicine",1,"Sciences, Technology & Medicine"
36893,"Sciences, Technology & Medicine",Mathematics,MTG Editorial Board,3.5,1,"Sciences, Technology & Medicine",1,"Sciences, Technology & Medicine"
36907,Children's Books|Medicine & Health Sciences|Literature & Fiction,Language Learning|Industries|Fantasy,Wonder House Books|Satish K Bhargava|Faye Berryman & Phillip O'Carroll,4.6,25,"Crime, Thriller & Mystery|Politics|Exam Preparation",12,Children's Books|Medicine & Health Sciences|Literature & Fiction
36909,Children's Books,Crime & Thriller,Tahereh Mafi,5.0,1,Children's Books,1,Children's Books
36919,Science & Mathematics,Environmental Studies,Dr. Sanjay Kumar Batra,4.0,1,Science & Mathematics,1,Science & Mathematics
36922,Children's Books,Literature & Fiction,Karen Katz,3.5,1,Children's Books,1,Children's Books
36931,Medicine & Health Sciences,Research,Lee Hull,4.5,1,Medicine & Health Sciences,1,Medicine & Health Sciences
36935,Children's Books|Romance,Language Learning|Money & Jobs|Holidays,Wonder House Books|Srishti Agrawal|EMILY HENRY,4.375,4,Children's Books|Romance,2,Children's Books|Romance
36938,Children's Books,Computers & Technology,Stan Berenstain,5.0,1,Children's Books,1,Children's Books
36952,Children's Books,"Mysteries & Curiosities|Fantasy, Science Fiction & Horror",Rick Riordan|Jeff Kinney,4.25,2,Children's Books,1,Children's Books
36956,Children's Books,"Fantasy, Science Fiction & Horror",J.K. Rowling,4.0,1,Children's Books,1,Children's Books
36959,Romance,New Adult & College,EMILY HENRY,4.0,1,Romance,1,Romance
36961,Higher Education Textbooks,Social Sciences,Dr Shefali Tsabary,3.5,1,Higher Education Textbooks,1,Higher Education Textbooks
36962,Literature & Fiction,Humour,ஷேஹா ஸகி Shehazaki,3.5,1,Literature & Fiction,1,Literature & Fiction
36964,"Arts, Film & Photography|Crafts, Home & Lifestyle",Cinema & Broadcast|Games & Quizzes,David Nicholls|Gareth Moore,4.5,2,"Arts, Film & Photography|Crafts, Home & Lifestyle",2,"Arts, Film & Photography|Crafts, Home & Lifestyle"
36965,Children's Books|Comics & Mangas,"Education & Reference|Comics|Family, Personal & Social Issues",NCERT|Rajani Thindiath|David Walliams,3.6666666666666665,3,Comics & Mangas|Children's Books,2,Children's Books|Comics & Mangas
36973,"Romance|Crafts, Home & Lifestyle|Business & Economics",Workplace Romance|Games & Quizzes|Industries,Vishwa Poomi|Gareth Moore|Ram Charan,4.333333333333333,3,"Crafts, Home & Lifestyle|Romance|Business & Economics",3,"Romance|Crafts, Home & Lifestyle|Business & Economics"
36978,"Crafts, Home & Lifestyle|Children's Books|Health, Family & Personal Development","Lifestyle & Personal Style Guides|Family, Personal & Social Issues|Self-Help",Alex Bond|Liz Pichon|Deepinder Goyal,4.833333333333333,3,"Children's Books|Health, Family & Personal Development|Crafts, Home & Lifestyle",3,"Crafts, Home & Lifestyle|Children's Books|Health, Family & Personal Development"
36979,Children's Books,Historical Fiction,David Walliams,4.5,1,Children's Books,1,Children's Books
36985,Business & Economics,Industries,Joy Bhattacharjya,4.0,1,Business & Economics,1,Business & Economics
36992,"Higher Education Textbooks|Fantasy, Horror & Science Fiction|Literature & Fiction",Computer Science|Horror|Short Stories,Narasimha Karumanchi|Erin Morgenstern|Various,4.125,4,"Fantasy, Horror & Science Fiction|Biographies, Diaries & True Accounts|Higher Education Textbooks",4,"Higher Education Textbooks|Fantasy, Horror & Science Fiction|Literature & Fiction"
36993,Children's Books,"Family, Personal & Social Issues",Liz Pichon,4.5,1,Children's Books,1,Children's Books
37009,"Computing, Internet & Digital Media",Programming & Software Development,Sam Newman,3.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
37019,"Children's Books|Fantasy, Horror & Science Fiction|Exam Preparation",Horror|Medical Entrance|Research,Emilia Hart|Dr. Vipin Kumar Sharma|T. Barnett,4.111111111111111,9,"Children's Books|Fantasy, Horror & Science Fiction|Law",8,"Children's Books|Fantasy, Horror & Science Fiction|Exam Preparation"
37022,Children's Books|Sports|Romance,"Interactive & Activity Books|Fantasy, Science Fiction & Horror|Small Town Romance",Wonder House Books|Jeff Kinney|Susan Elizabeth Phillips,4.285714285714286,7,Children's Books|Romance|Sports,4,Children's Books|Sports|Romance
37024,Children's Books,Animals & Pets,Eric Carle,4.0,1,Children's Books,1,Children's Books
37030,"Computing, Internet & Digital Media",Network Administration,Dominic Chell,5.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
37038,Children's Books,Mysteries & Curiosities,Carolyn G. Keene,3.5,1,Children's Books,1,Children's Books
37051,Children's Books,Growing Up & Facts of Life,,3.5,1,Children's Books,1,Children's Books
37067,Romance,Small Town Romance,Willow  Aster,3.5,1,Romance,1,Romance
37074,Literature & Fiction|Children's Books,Classic Fiction|Animals & Pets,Fyodor Dostoevsky|Eric Carle,4.5,2,Literature & Fiction|Children's Books,2,Literature & Fiction|Children's Books
37078,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
37080,"Literature & Fiction|Crafts, Home & Lifestyle","Humour|Handicrafts, Decorative Arts & Crafts",Om Books Editorial Team|John Montroll,5.0,2,"Crafts, Home & Lifestyle|Literature & Fiction",2,"Literature & Fiction|Crafts, Home & Lifestyle"
37083,History,Ancient,Sanjeev Sanyal,4.5,1,History,1,History
37092,Law,Tax Law,Taxmann,3.5,1,Law,1,Law
37106,Children's Books,Humour,Liz Pichon,4.0,1,Children's Books,1,Children's Books
37113,Literature & Fiction|Travel,"Myths, Legends & Sagas|Travel & Holiday Guides",Koral Dasgupta|Lingo Mastery,4.0,2,Travel|Literature & Fiction,2,Literature & Fiction|Travel
37119,Medicine & Health Sciences,Administration & Policy,Jessie Inchauspé,5.0,1,Medicine & Health Sciences,1,Medicine & Health Sciences
37133,"Crafts, Home & Lifestyle",Home & House Maintenance,Cliff Tan,5.0,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
37135,Religion|Children's Books,Islam|History,Minakshi Dewan|Wonder House Books,3.75,2,Religion|Children's Books,2,Religion|Children's Books
37147,Children's Books|Literature & Fiction,Literature & Fiction|Humour,Wonder House Books,4.5,2,Children's Books|Literature & Fiction,2,Children's Books|Literature & Fiction
37160,Children's Books,Education & Reference,NCERT,4.0,1,Children's Books,1,Children's Books
37164,Children's Books,"Games, Toys & Activities",Gareth Moore,4.0,1,Children's Books,1,Children's Books
37168,History,Ancient,Target Publications,5.0,1,History,1,History
37189,Children's Books,"Crafts, Hobbies & Practical Interests",Dreamland Publications,4.5,1,Children's Books,1,Children's Books
37193,"Health, Family & Personal Development|Arts, Film & Photography",Self-Help|Cinema & Broadcast,Dale Carnegie|Girish Karnad,4.25,2,"Health, Family & Personal Development|Arts, Film & Photography",2,"Health, Family & Personal Development|Arts, Film & Photography"
37197,"Computing, Internet & Digital Media",Programming & Software Development,Mark Richards,4.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
37208,Children's Books|Sports|Romance,Literature & Fiction|Juggling|Language Learning,Wonder House Books|Dr. Mangala S.|Jeff Kinney,3.96875,16,"Crafts, Home & Lifestyle|Religion|Sports",7,Children's Books|Sports|Romance
37209,Children's Books,Interactive & Activity Books,Wonder House Books,4.0,1,Children's Books,1,Children's Books
37227,"Children's Books|Exam Preparation|Arts, Film & Photography",Medical Entrance|Cinema & Broadcast|Geography & Cultures,Matthew McConaughey|Dr. Vipin Kumar Sharma|Cocomelon,5.0,8,"Arts, Film & Photography|Children's Books|Exam Preparation",5,"Children's Books|Exam Preparation|Arts, Film & Photography"
37235,Children's Books|Law|Society & Social Sciences,"Cars, Trains & Things That Go|Tax Law|Anthropology",Wonder House Books|Taxmann|Yuval Noah Harari,4.0,4,"Law|Children's Books|Fantasy, Horror & Science Fiction",4,Children's Books|Law|Society & Social Sciences
37239,"Arts, Film & Photography|Medicine & Health Sciences|Health, Family & Personal Development",Research|Music|Theater & Ballet,Dr. Kamalpreet Singh|John Thompson|J.K. Rowling,4.125,4,"Medicine & Health Sciences|Health, Family & Personal Development|Arts, Film & Photography",3,"Arts, Film & Photography|Medicine & Health Sciences|Health, Family & Personal Development"
37244,"Exam Preparation|Children's Books|Health, Family & Personal Development","Arts, Design and Education Exams|Holidays & Celebrations|Personal Transformation",Dr. Renu Mishra & EBS Team|STILTON GERONIMO|Robin Sharma,3.6666666666666665,3,"Health, Family & Personal Development|Children's Books|Exam Preparation",3,"Exam Preparation|Children's Books|Health, Family & Personal Development"
37247,"Language, Linguistics & Writing",Writing Guides,Maple Press,4.0,1,"Language, Linguistics & Writing",1,"Language, Linguistics & Writing"
37272,History,Biographies & Autobiographies,Paramahansa Yogananda,5.0,1,History,1,History
37288,"Exam Preparation|Computing, Internet & Digital Media|Literature & Fiction",Medical Entrance|Programming & Software Development|Essays,Dr. Vipin Kumar Sharma|Berg Craig|Franz Kafka,4.0,3,"Computing, Internet & Digital Media|Exam Preparation|Literature & Fiction",3,"Exam Preparation|Computing, Internet & Digital Media|Literature & Fiction"
37293,Children's Books|Literature & Fiction|Medicine & Health Sciences,Administration & Policy|Islam|Fantasy,Geetanjali Bhide|Al Imam Ibn Kathir|J.K. Rowling,3.9545454545454546,11,"Arts, Film & Photography|Computing, Internet & Digital Media|Science & Mathematics",8,Children's Books|Literature & Fiction|Medicine & Health Sciences
37310,"Children's Books|Computing, Internet & Digital Media|Health, Family & Personal Development",Network Administration|Money & Jobs|Self-Help,"Carl L. Pritchard, PMP, PMI-RMP, EVP|Ladybird|Deepinder Goyal",3.9285714285714284,7,"Children's Books|Computing, Internet & Digital Media|Health, Family & Personal Development",4,"Children's Books|Computing, Internet & Digital Media|Health, Family & Personal Development"
37311,Children's Books|Higher Education Textbooks|Exam Preparation,"Arts, Design and Education Exams|Holidays & Celebrations|Business & Finance",Wonder House Books|Dr. Renu Mishra & EBS Team|Julia Donaldson,3.8333333333333335,12,"Sciences, Technology & Medicine|Children's Books|Higher Education Textbooks",7,Children's Books|Higher Education Textbooks|Exam Preparation
37313,Society & Social Sciences,Society & Culture,Ichiro Kishimi and Fumitake Koga,5.0,1,Society & Social Sciences,1,Society & Social Sciences
37314,Children's Books,Religion,Wonder House Books,4.0,1,Children's Books,1,Children's Books
37320,Law,Tax Law,CA. KAMAL GARG,4.5,1,Law,1,Law
37338,Exam Preparation|Law,Medical Entrance|Tax Law,ALLEN Expert Faculties|Dr Gupta,4.0,2,Exam Preparation|Law,2,Exam Preparation|Law
37350,History,Biographies & Autobiographies,William H. McRaven,4.0,1,History,1,History
37352,Law,Tax Law,Dr. Vinod K. Singhania,4.0,1,Law,1,Law
37370,"Exam Preparation|Computing, Internet & Digital Media",Professional Certification Exams|Internet & Social Media,Shivani Dogra|Monika Halan,5.0,2,"Computing, Internet & Digital Media|Exam Preparation",2,"Exam Preparation|Computing, Internet & Digital Media"
37377,Children's Books,"Fantasy, Science Fiction & Horror|Religion",J.K. Rowling|Wonder House Books,3.75,2,Children's Books,1,Children's Books
37381,"Children's Books|Crafts, Home & Lifestyle",Money & Jobs|Lifestyle & Personal Style Guides,Emma Carroll|Natasja Sadi,4.0,2,"Children's Books|Crafts, Home & Lifestyle",2,"Children's Books|Crafts, Home & Lifestyle"
37400,"Children's Books|Politics|Crafts, Home & Lifestyle",Language Learning|International Relations & Globalization|Lifestyle & Personal Style Guides,Wonder House Books|Jack Farchy|Alex Bond,3.875,8,"Children's Books|Politics|Computing, Internet & Digital Media",5,"Children's Books|Politics|Crafts, Home & Lifestyle"
37416,Children's Books,"Games, Toys & Activities",Gareth Moore,4.0,1,Children's Books,1,Children's Books
37426,"Children's Books|Computing, Internet & Digital Media",Education & Reference|Databases & Big Data,NCERT|Shivam Shankar Singh,3.5,2,"Computing, Internet & Digital Media|Children's Books",2,"Children's Books|Computing, Internet & Digital Media"
37433,"Computing, Internet & Digital Media",Programming & Software Development,Narasimha Karumanchi,4.0,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
37444,"Fantasy, Horror & Science Fiction",Horror,Franz Kafka,4.0,1,"Fantasy, Horror & Science Fiction",1,"Fantasy, Horror & Science Fiction"
37447,"Higher Education Textbooks|Religion|Language, Linguistics & Writing",Social Sciences|Jainism|Writing Guides,Kamal Ravikant|Kaira Pal|William Strunk,4.375,4,"Literature & Fiction|Higher Education Textbooks|Language, Linguistics & Writing",4,"Higher Education Textbooks|Religion|Language, Linguistics & Writing"
37454,Children's Books,Literature & Fiction|Interactive & Activity Books|Reference,Wonder House Books|Jeff Kinney|Aditi Gupta,3.8333333333333335,6,Children's Books,1,Children's Books
37458,Children's Books,Education & Reference,Wonder House Books,5.0,1,Children's Books,1,Children's Books
37474,Romance,Paranormal,Ruchi Singh,5.0,1,Romance,1,Romance
37493,Children's Books|Literature & Fiction|Comics & Mangas,"Short Stories|Mathematics|Science, Nature & Technology",Wonder House Books|Divine Earth|Leigh Bardugo,4.0227272727272725,22,"Arts, Film & Photography|Business & Economics|Religion",12,Children's Books|Literature & Fiction|Comics & Mangas
37504,Children's Books,Interactive & Activity Books,Wonder House Books,4.0,1,Children's Books,1,Children's Books
37507,Higher Education Textbooks,Social Sciences,Jared Diamond,4.5,1,Higher Education Textbooks,1,Higher Education Textbooks
37511,"Children's Books|Romance|Fantasy, Horror & Science Fiction",Mysteries & Curiosities|Horror|Personal Transformation,Sri M|Jan Yager|Akshat Gupta,4.5,7,"Fantasy, Horror & Science Fiction|Romance|Health, Family & Personal Development",5,"Children's Books|Romance|Fantasy, Horror & Science Fiction"
